index,SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
154,Land Of Confusion - 2007 RemasterGenesis,5/23/2021 9:16:00 AM,Genesis,Invisible Touch,Land Of Confusion - 2007 Remaster,5/23/2021 3:16:00 PM
155,I Wanna Dance with Somebody (Who Loves Me)Whitney Houston,5/23/2021 9:11:00 AM,Whitney Houston,Whitney,I Wanna Dance with Somebody (Who Loves Me),5/23/2021 3:11:00 PM
156,I'm Still StandingElton John,5/23/2021 9:08:00 AM,Elton John,Too Low For Zero,I'm Still Standing,5/23/2021 3:08:00 PM
157,Against All Odds (Take a Look at Me Now) - 2016 RemasterPhil Collins,5/23/2021 9:08:00 AM,Phil Collins,The Singles (Expanded),Against All Odds (Take a Look at Me Now) - 2016 Remaster,5/23/2021 3:08:00 PM
158,I'm Still StandingElton John,5/23/2021 9:05:00 AM,Elton John,Rocket Man (Deluxe Edition),I'm Still Standing,5/23/2021 3:05:00 PM
159,Under Pressure - Remastered 2011Queen,5/23/2021 9:01:00 AM,Queen,Hot Space (2011 Remaster),Under Pressure - Remastered 2011,5/23/2021 3:01:00 PM
160,Summer of '69Bryan Adams,5/23/2021 8:57:00 AM,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),Summer of '69,5/23/2021 2:57:00 PM
161,Take On Mea-ha,5/23/2021 8:53:00 AM,a-ha,Hunting High and Low,Take On Me,5/23/2021 2:53:00 PM
162,Billie JeanMichael Jackson,5/23/2021 8:48:00 AM,Michael Jackson,Thriller 25 Super Deluxe Edition,Billie Jean,5/23/2021 2:48:00 PM
163,What's Love Got to Do with ItTina Turner,5/23/2021 8:45:00 AM,Tina Turner,What's Love Got To Do With It?,What's Love Got to Do with It,5/23/2021 2:45:00 PM
164,Every Breath You TakeThe Police,5/23/2021 8:41:00 AM,The Police,Stranger Things (Soundtrack from the Netflix Original Series),Every Breath You Take,5/23/2021 2:41:00 PM
165,I Still Haven't Found What I'm Looking ForU2,5/23/2021 8:36:00 AM,U2,The Joshua Tree (Deluxe Edition Remastered),I Still Haven't Found What I'm Looking For,5/23/2021 2:36:00 PM
166,Like Real People DoHozier,5/23/2021 7:26:00 AM,Hozier,Hozier (Expanded Edition),Like Real People Do,5/23/2021 1:26:00 PM
167,TwelveChill Bump,5/23/2021 7:24:00 AM,Chill Bump,Twelve,Twelve,5/23/2021 1:24:00 PM
168,Fire on the Horizon (LabRat Remix)Stick Figure,5/22/2021 6:59:00 PM,Stick Figure,Fire on the Horizon (LabRat Remix),Fire on the Horizon (LabRat Remix),5/23/2021 12:59:00 AM
169,BodysnatchersDave Rawlings Machine,5/22/2021 6:53:00 PM,Dave Rawlings Machine,Nashville Obsolete,Bodysnatchers,5/23/2021 12:53:00 AM
170,Sunroof CadillacThe Floozies,5/22/2021 4:33:00 PM,The Floozies,Sunroof Cadillac,Sunroof Cadillac,5/22/2021 10:33:00 PM
171,You Could Be MineGuns N' Roses,5/22/2021 2:02:00 PM,Guns N' Roses,Greatest Hits (EU Version),You Could Be Mine,5/22/2021 8:02:00 PM
172,ConfidenceConner Youngblood,5/22/2021 1:57:00 PM,Conner Youngblood,Confidence EP,Confidence,5/22/2021 7:57:00 PM
173,Nothing Compares 2 UPrince,5/22/2021 1:52:00 PM,Prince,Nothing Compares 2 U,Nothing Compares 2 U,5/22/2021 7:52:00 PM
174,Nothing Compares 2 UPrince,5/22/2021 1:49:00 PM,Prince,Nothing Compares 2 U,Nothing Compares 2 U,5/22/2021 7:49:00 PM
